city,rooms,square,price,link,township,title
Beograd,2,70.0,1200,https://www.nekretnine.rs/stambeni-objekti/stanovi/west-65-izdavanje-nov-lux-dvosoban-sa-garaznim-mestom-id7830/Nk31k6K4CXr/,Novi Beograd Blok 65,"West 65, izdavanje, nov lux dvosoban sa garažnim mestom ID#7830"
Beograd,4,125.0,1700,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--40--garaza-kalenic/NkuQshfdSL0/,Kalenić pijaca,Izdavanje luksuznih stanova na Vracaru / 4.0 / garaza - KALENIC
Beograd,3,80.0,1350,https://www.nekretnine.rs/stambeni-objekti/stanovi/namesten-stan-u-a-bloku-sa-2-garazna-mesta/Nk1TsLslA7I/,Novi Beograd Blok 67a,Namešten stan u A bloku sa 2 garažna mesta
Beograd,2,54.0,800,https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-beograd-na-vodi-hercegovacka-20-54m2-800-eur/NkyQAPIbcDl/,Beograd na vodi,"Savski venac, Beograd na vodi, Hercegovačka, 2.0, 54m2, 800 EUR"
Beograd,2,56.0,700,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-60-airport-city-tosin-bunar-20-56m2-700-eur/Nk_h-G_6Fb4/,Novi Beograd Blok 60 (Airport City),"Novi Beograd, Blok 60, Airport City, Tošin bunar, 2.0, 56m2, 700 EUR"
Beograd,2,48.0,600,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-20--blok-64-gandijeva/NkRDuVnF9Wb/,Novi Beograd Blok 64,Lux 2.0 / Blok 64 - GANDIJEVA
Beograd,3,103.0,1600,https://www.nekretnine.rs/stambeni-objekti/stanovi/senjak-internacionalna-skola-103m2-lux/Nkc9aLcbcrS/,Senjak,"Senjak, Internacionalna škola 103m2 LUX"
Beograd,3,80.0,700,https://www.nekretnine.rs/stambeni-objekti/stanovi/stari-grad-narodna-skupstina-kosovska-80m2/Nk5bx2Z9w9w/,Stari Grad,"Stari grad, Narodna Skupština-Kosovska 80m2"
Beograd,5,130.0,1300,https://www.nekretnine.rs/stambeni-objekti/stanovi/krunska-salonac-130-m2/NkRQCJMFzd6/,Vračar (Centar),Krunska salonac 130 m2
Beograd,3,63.0,450,https://www.nekretnine.rs/stambeni-objekti/stanovi/hotel-yu-aleksinackih-rudara-63m2/NkutH1qUfky/,Novi Beograd Blok 11 (Hotel Jugoslavija),"Hotel YU, Aleksinačkih rudara 63m2"
