city,rooms,total_price,link,condition,heating,township,place,street
Beograd,4.0,900,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/knjeginje-zorke/623de955334498206976d4f3,namešteno,centralno,Vračar,Hram Svetog Save,Knjeginje Zorke
Beograd,2.0,500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/bulevar-milutina-milankovica/624325c233999e421c30bc63,,centralno,Novi Beograd,Blok 23,Bulevar Milutina Milankovića
Beograd,1.5,350,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/gornjogradska/6246c530355ce44d13769653,,na struju,Zemun opština,Sava Kovačević,Gornjogradska
Beograd,4.0,1300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/zanke-stokic/624c7d37e60b7424197bee43,namešteno,norveški radijatori,Savski Venac,Senjak,Žanke Stokić
Beograd,2.0,4700,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cubura/625001431293461bb77478a3,,etažno,Vračar,Vračar,Čubura
Beograd,3.0,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/nevesinjska/62140a6014968910d54fb5b5,polunamešteno,centralno,Vračar,Kalenić,Nevesinjska
Beograd,3.0,1100,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/baje-pivljanina/61f7d664a0c1860d074efcf3,namešteno,na gas,Savski Venac,Dedinje,Baje Pivljanina
Beograd,4.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/bulevar-kneza-aleksandra-karadjordjevica/622b5e80375b022174091833,namešteno,centralno,Savski Venac,Dedinje,Bulevar Kneza Aleksandra Karađorđevića
Beograd,2.0,500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/bulevar-nikole-tesle/6241f2d33f36bf125c097628,polunamešteno,centralno,Zemun opština,Zemun,Bulevar Nikole Tesle
Novi Sad,1.5,400,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/augusta-cesarca/624d648f0a78ed4e3c764693,namešteno,centralno,Gradske lokacije,Novi Sad - Centar,Augusta Cesarca
Beograd,4.0,1850,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/beograd-na-vodi/621cb8fc50594d7430178a63,prazno,centralno,Savski Venac,Savski Venac,Beograd Na Vodi
Beograd,4.0,900,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/slavija/61fd30164f86fc7b9c49a4ec,polunamešteno,centralno,Vračar,Vračar,Slavija
